vf	x	y	z
v	1.50E+01	-3.66E+00	4.66E-01
v	1.38E+01	-2.57E+00	2.57E+00
v	-1.59E+01	2.39E+00	4.66E-01
v	-1.65E+01	1.58E+00	4.66E-01
v	-1.66E+01	-2.06E+00	2.50E+00
v	-1.55E+01	-3.32E+00	1.40E+00
v	-1.47E+01	-3.18E+00	2.05E+00
v	-1.47E+01	-2.22E+00	3.19E+00
v	-1.39E+01	-2.79E+00	2.72E+00
v	-1.31E+01	-3.30E+00	2.17E+00
v	-1.48E+01	-3.82E+00	5.34E-01
v	-1.31E+01	-4.11E+00	4.46E-01
v	-1.24E+01	-3.77E+00	1.55E+00
v	-1.39E+01	-1.69E+00	3.72E+00
v	-1.25E+01	-2.84E+00	2.65E+00
v	-1.26E+01	-1.88E+00	3.67E+00
v	-1.30E+01	-1.31E+00	4.13E+00
v	1.06E+01	-7.62E+00	-2.20E+00
v	1.19E+01	-6.66E+00	-3.34E+00
v	1.21E+01	-7.58E+00	-2.17E+00
v	1.14E+01	-7.94E+00	-1.46E+00
v	9.79E+00	-7.19E+00	-2.75E+00
v	1.29E+01	-6.96E+00	-2.61E+00
v	3.11E+00	-5.34E+00	-2.98E-01
v	3.80E+00	-5.62E+00	4.82E-01
v	-1.45E+00	6.30E+00	2.63E+00
v	7.54E+00	-2.55E+00	-5.64E+00
v	6.81E+00	-5.59E+00	-3.46E+00
v	5.25E+00	-1.47E+00	-5.91E+00
v	6.74E+00	-1.47E+00	-5.58E+00
v	9.27E+00	-6.49E+00	-3.43E+00
v	8.43E+00	-6.75E+00	-2.60E+00
v	7.38E+00	-6.30E+00	-2.78E+00
v	-1.26E+01	-3.19E+00	-2.40E+00
v	-1.17E+01	-3.40E+00	-1.54E+00
v	-1.24E+01	-4.04E+00	-5.20E-01
v	-1.15E+01	-1.68E+00	-3.87E+00
v	-1.15E+01	-2.81E+00	-2.75E+00
v	-1.08E+01	-2.25E+00	-3.31E+00
v	-1.70E+01	-3.56E-01	-1.54E+00
v	-1.73E+01	-1.47E+00	-1.34E+00
v	-1.01E+01	2.96E+00	-3.75E+00
v	-1.37E+01	1.57E+00	-3.15E+00
v	-1.27E+01	3.07E+00	-2.73E+00
v	-1.31E+01	2.31E+00	-3.05E+00
v	-8.62E+00	1.89E+00	-4.72E+00
v	-9.31E+00	2.48E+00	-4.22E+00
v	-1.08E+01	3.53E+00	-3.16E+00
v	-1.16E+01	4.00E+00	-2.59E+00
v	-2.42E+00	7.85E+00	-2.10E+00
v	-3.11E+00	8.21E+00	-1.52E+00
v	-3.95E+00	8.37E+00	-5.52E-01
v	-1.97E+00	7.91E+00	-1.57E+00
v	6.71E-01	5.17E+00	-3.67E+00
v	7.12E-01	5.41E+00	-1.57E+00
v	1.33E+00	5.05E+00	-2.62E+00
v	-3.66E-01	6.41E+00	-5.51E-01
v	2.86E-01	5.66E+00	-5.51E-01
v	-1.46E+00	7.60E+00	-5.51E-01
v	1.31E+01	1.81E+00	-1.32E+00
v	1.34E+01	1.60E+00	2.55E-01
v	1.27E+01	1.67E+00	1.36E+00
v	1.19E+01	2.76E+00	1.34E+00
v	1.32E+01	9.54E-01	-1.76E+00
v	1.39E+01	8.91E-01	-6.29E-01
v	8.28E+00	3.94E+00	-5.48E-01
v	1.12E+01	2.60E+00	2.24E+00
v	1.06E+01	3.52E+00	2.05E+00
v	7.55E+00	4.48E+00	1.29E-02
v	8.32E+00	3.89E+00	3.32E+00
v	1.15E+01	9.47E-01	2.92E+00
v	1.18E+01	1.59E+00	2.32E+00
v	1.06E+01	-3.73E-01	4.52E+00
v	9.71E+00	-5.52E-01	5.20E+00
v	9.08E+00	1.99E-01	5.07E+00
v	-4.73E+00	1.71E+00	-5.31E+00
v	-3.19E+00	1.85E+00	-5.42E+00
v	-2.25E+00	2.71E+00	-5.24E+00
v	-1.65E+00	3.41E+00	-5.09E+00
v	-9.29E+00	5.05E+00	-2.54E+00
v	-1.03E+01	4.27E+00	-2.83E+00
v	-7.03E+00	5.61E-01	-5.24E+00
v	-7.97E+00	9.72E-01	-5.10E+00
v	-5.49E+00	7.19E-01	-5.38E+00
v	6.81E+00	1.89E+00	-4.72E+00
v	6.80E+00	6.35E-01	-5.38E+00
v	7.58E+00	-3.49E-01	-5.24E+00
v	1.56E+00	-4.59E+00	-1.53E+00
v	5.01E-01	-3.01E+00	1.70E+00
v	-3.24E+00	-3.80E+00	-6.29E-01
v	-2.41E+00	-3.66E+00	-1.56E+00
v	-3.87E+00	-2.28E+00	3.33E+00
v	1.29E+01	-2.54E+00	-2.67E+00
v	1.34E+01	-1.60E+00	-2.38E+00
v	1.29E+01	-3.30E-01	-2.48E+00
v	1.42E+00	-2.04E+00	-5.15E+00
v	2.17E+00	-1.48E+00	-5.64E+00
v	-1.01E+01	5.41E+00	-1.60E+00
v	-7.94E+00	6.65E+00	6.92E-01
v	-1.63E+01	7.85E-01	-1.63E+00
v	-1.45E+01	1.71E+00	-2.50E+00
v	-1.54E+01	1.84E+00	-1.62E+00
v	-9.15E+00	-2.19E+00	-3.46E+00
v	-6.26E+00	-2.38E-01	-5.20E+00
v	-7.78E+00	-3.17E+00	-2.13E+00
v	-3.09E+00	-3.54E-01	-5.59E+00
v	-3.85E+00	7.17E-01	-5.57E+00
v	-2.42E+00	-1.10E+00	-5.29E+00
v	-4.14E+00	-3.04E+00	-2.78E+00
v	-4.71E+00	-3.21E+00	-2.16E+00
v	1.49E+01	-4.75E+00	-8.01E-01
v	1.28E+01	-7.76E+00	-1.44E+00
v	1.23E+01	-8.13E+00	-6.07E-01
v	1.29E+01	-8.04E+00	4.61E-01
v	1.46E+01	-4.75E+00	-1.57E+00
v	1.50E+01	-4.76E+00	4.82E-01
v	1.43E+01	-6.80E+00	1.33E+00
v	1.46E+01	-5.84E+00	1.48E+00
v	1.48E+01	-4.75E+00	1.56E+00
v	1.33E+01	-7.55E+00	1.48E+00
v	1.39E+01	4.51E-01	4.66E-01
v	1.44E+01	-3.92E-01	-5.50E-01
v	-1.64E+00	-4.57E-01	-5.71E+00
v	1.42E+00	-3.56E-01	-5.91E+00
v	-8.78E-01	7.09E-01	-5.84E+00
v	6.55E-01	7.08E-01	-5.94E+00
v	-3.18E+00	-3.21E+00	-2.47E+00
v	2.18E+00	-4.60E-01	5.26E+00
v	-1.01E-01	7.27E-01	5.55E+00
v	1.37E+00	7.29E-01	5.58E+00
v	-8.84E-01	-2.78E-01	5.21E+00
v	6.78E+00	-6.40E+00	-2.08E+00
v	7.55E+00	-6.94E+00	-1.57E+00
v	5.55E+00	-3.50E+00	4.41E+00
v	5.25E+00	-2.07E+00	5.09E+00
v	4.44E+00	-1.35E+00	5.16E+00
v	5.83E+00	-2.79E+00	4.98E+00
v	3.71E+00	-4.26E-01	5.25E+00
v	6.72E+00	4.89E+00	4.92E-01
v	6.82E+00	5.03E+00	2.44E+00
v	5.86E+00	5.21E+00	1.54E+00
v	7.55E+00	4.57E+00	3.03E+00
v	3.73E+00	4.71E+00	-1.58E+00
v	4.11E+00	4.56E+00	-2.58E+00
v	5.61E+00	3.42E+00	-3.60E+00
v	4.58E+00	4.19E+00	-3.64E+00
v	5.76E+00	2.75E+00	-4.46E+00
v	1.45E+01	-3.67E+00	-1.59E+00
v	1.42E+01	-2.56E+00	-1.81E+00
v	5.23E+00	3.08E+00	4.69E+00
v	6.87E+00	4.06E+00	3.57E+00
v	6.02E+00	3.56E+00	4.12E+00
v	6.04E+00	7.54E-01	5.57E+00
v	6.78E+00	-3.85E-01	5.79E+00
v	8.34E+00	-3.17E-01	5.60E+00
v	5.26E+00	1.88E+00	5.29E+00
v	6.02E+00	4.55E+00	3.01E+00
v	4.48E+00	3.55E+00	4.11E+00
v	3.80E+00	3.23E+00	4.73E+00
v	2.18E+00	4.41E+00	1.44E+00
v	8.48E+00	-4.56E+00	5.16E+00
v	7.59E+00	-3.48E+00	5.33E+00
v	6.89E+00	-2.54E+00	5.42E+00
v	-1.33E+01	3.36E+00	2.69E+00
v	-8.49E+00	6.10E+00	1.43E+00
v	-8.55E+00	5.12E+00	2.49E+00
v	-3.96E+00	-2.88E-01	5.21E+00
v	-3.18E+00	6.09E-01	5.65E+00
v	-1.65E+00	6.63E-01	5.59E+00
v	8.29E+00	-7.77E+00	4.64E-01
v	9.13E+00	-7.91E+00	1.43E+00
v	9.83E+00	-7.66E+00	2.41E+00
v	1.06E+01	-7.47E+00	3.00E+00
v	8.13E+00	-7.48E+00	-8.04E-01
v	-8.42E+00	1.82E+00	5.46E+00
v	-7.81E+00	2.81E+00	5.21E+00
v	-1.01E+01	1.71E+00	5.23E+00
v	-6.27E+00	2.82E+00	5.43E+00
v	-7.10E+00	1.78E+00	5.62E+00
v	-5.48E+00	3.56E+00	5.15E+00
v	-3.28E+00	4.20E+00	4.80E+00
v	-3.95E+00	3.61E+00	5.18E+00
v	-4.76E+00	2.91E+00	5.56E+00
v	2.95E+00	-3.66E-01	-5.97E+00
v	4.48E+00	-3.87E-01	-5.89E+00
v	-8.92E-01	2.96E+00	-5.27E+00
v	-1.16E-01	3.55E+00	-5.22E+00
v	7.48E-01	4.22E+00	-4.95E+00
v	1.42E+00	4.67E+00	-4.23E+00
v	-1.62E+01	1.78E+00	-6.09E-01
v	-9.32E+00	6.85E-01	5.33E+00
v	-7.01E+00	8.02E-03	5.19E+00
v	-7.78E+00	6.78E-01	5.35E+00
v	-1.47E+01	-9.27E-01	4.03E+00
v	-6.27E+00	7.04E-01	5.56E+00
v	-4.71E+00	6.45E-01	5.62E+00
v	1.18E+01	-3.66E+00	5.12E+00
v	1.13E+01	-2.74E+00	5.23E+00
v	1.05E+01	-1.62E+00	5.27E+00
v	1.14E+01	-7.73E+00	2.42E+00
v	1.43E+01	-5.69E+00	2.36E+00
v	1.21E+01	-8.03E+00	1.45E+00
v	-1.08E+01	-3.70E+00	1.51E+00
v	-1.01E+01	-3.91E+00	4.63E-01
v	-3.95E+00	-3.41E+00	-1.59E+00
v	-1.09E+01	-3.79E+00	-6.57E-01
v	-1.16E+01	-3.28E+00	2.15E+00
v	1.13E+01	-4.69E+00	5.36E+00
v	-1.31E+01	3.48E+00	-2.10E+00
v	-1.08E+01	4.67E+00	-2.19E+00
v	-1.37E+01	2.67E+00	-2.38E+00
v	8.94E+00	-3.70E+00	5.68E+00
v	1.07E+01	-3.59E+00	5.66E+00
v	-1.64E+00	2.80E+00	5.47E+00
v	-2.42E+00	3.57E+00	5.15E+00
v	-7.33E-01	5.54E+00	2.72E+00
v	-1.68E-01	2.88E+00	5.41E+00
v	6.51E-01	3.45E+00	5.04E+00
v	3.07E-01	4.82E+00	2.36E+00
v	-4.75E+00	8.00E+00	3.63E-01
v	-1.63E+00	7.12E+00	1.49E+00
v	-2.59E+00	7.89E+00	1.28E+00
v	-3.20E+00	8.42E+00	5.06E-01
v	1.25E+00	4.61E+00	1.26E+00
v	2.96E+00	2.85E+00	5.33E+00
v	1.50E+00	2.77E+00	5.46E+00
v	2.25E+00	1.91E+00	5.65E+00
v	6.76E-01	5.12E+00	4.49E-01
v	1.33E+00	4.98E+00	-6.04E-01
v	2.04E+00	4.86E+00	-1.57E+00
v	1.48E+01	-2.40E+00	-6.82E-01
v	1.47E+01	-1.47E+00	-5.51E-01
v	1.49E+01	-3.65E+00	-4.65E-01
v	-1.16E+01	-4.10E+00	4.52E-01
v	9.83E+00	-7.76E+00	-1.62E+00
v	1.05E+01	-8.19E+00	-6.42E-01
v	8.90E+00	-7.43E+00	-1.78E+00
v	-8.16E-01	6.24E+00	1.44E+00
v	6.01E+00	-3.78E-01	-5.63E+00
v	-2.35E+00	8.43E+00	-5.50E-01
v	2.20E+00	4.71E+00	-3.49E+00
v	2.96E+00	4.74E+00	-2.60E+00
v	-2.87E-01	6.06E+00	3.26E-01
v	-1.14E+00	7.11E+00	2.60E-01
v	-1.97E+00	7.91E+00	4.66E-01
v	1.38E+01	-4.58E-01	-1.68E+00
v	9.25E+00	-1.41E+00	5.72E+00
v	-2.48E+00	8.15E-01	-5.75E+00
v	-1.66E+00	1.70E+00	-5.57E+00
v	5.91E+00	1.67E+00	-5.36E+00
v	5.19E+00	6.97E-01	-5.60E+00
v	1.43E+01	-1.62E+00	-1.45E+00
v	1.14E+01	-8.24E+00	4.62E-01
v	2.18E+00	7.10E-01	-6.01E+00
v	-9.21E-02	1.77E+00	-5.61E+00
v	1.42E+00	1.79E+00	-5.87E+00
v	2.94E+00	5.94E-01	5.63E+00
v	6.58E-01	1.81E+00	5.49E+00
v	-8.84E-01	1.81E+00	5.69E+00
v	6.01E+00	-1.53E+00	5.58E+00
v	5.15E+00	-4.15E-01	5.62E+00
v	4.50E+00	7.33E-01	5.65E+00
v	3.53E+00	4.59E+00	-3.38E+00
v	2.95E+00	4.45E+00	-4.02E+00
v	5.07E+00	3.49E+00	-4.38E+00
v	4.48E+00	3.35E+00	-5.03E+00
v	3.75E+00	4.01E+00	-4.68E+00
v	5.06E+00	2.66E+00	-5.15E+00
v	4.48E+00	2.51E+00	5.18E+00
v	7.55E+00	-1.47E+00	5.83E+00
v	3.76E+00	1.88E+00	5.59E+00
v	8.33E+00	-2.55E+00	5.86E+00
v	-3.95E+00	1.81E+00	5.82E+00
v	-2.42E+00	1.81E+00	5.72E+00
v	9.70E+00	-8.20E+00	4.63E-01
v	9.19E+00	-7.96E+00	-5.11E-01
v	1.05E+01	-8.06E+00	1.52E+00
v	-5.48E+00	1.81E+00	5.77E+00
v	-3.25E+00	2.89E+00	5.54E+00
v	3.71E+00	7.07E-01	-5.81E+00
v	7.17E-01	2.83E+00	-5.45E+00
v	1.42E+00	3.61E+00	-5.27E+00
v	2.16E+00	4.19E+00	-4.68E+00
v	1.00E+01	-2.48E+00	5.73E+00
v	5.39E-02	5.29E+00	1.50E+00
v	4.36E+00	1.75E+00	-5.55E+00
v	2.94E+00	1.79E+00	-5.84E+00
v	2.18E+00	2.91E+00	-5.64E+00
v	3.64E+00	2.73E+00	-5.48E+00
v	2.95E+00	3.51E+00	-5.18E+00
f	0	98	97
f	0	104	98
f	0	101	104
f	0	99	102
f	0	97	99
f	101	0	100
f	100	0	102
f	1	105	101
f	1	110	105
f	1	107	110
f	1	108	107
f	1	103	106
f	1	101	103
f	1	109	108
f	1	106	109
f	2	117	111
f	2	115	116
f	2	116	117
f	2	111	112
f	2	113	115
f	2	112	113
f	118	3	121
f	3	114	121
f	3	113	114
f	3	120	113
f	3	122	120
f	3	119	122
f	119	3	118
f	4	125	123
f	4	112	111
f	4	111	125
f	4	121	112
f	4	124	121
f	4	123	124
f	127	5	128
f	5	129	128
f	5	130	129
f	5	126	130
f	5	131	126
f	131	5	127
f	132	136	6
f	134	6	135
f	6	138	135
f	138	6	136
f	132	6	137
f	6	133	137
f	133	6	134
f	7	141	145
f	7	142	141
f	139	142	7
f	7	143	139
f	7	145	140
f	7	140	143
f	8	146	152
f	8	147	151
f	8	152	147
f	8	149	146
f	8	151	150
f	8	150	149
f	9	155	156
f	9	154	152
f	9	156	154
f	9	153	155
f	9	152	146
f	9	146	153
f	10	157	159
f	10	159	158
f	10	158	162
f	10	162	161
f	10	161	160
f	10	160	157
f	11	168	132
f	11	163	168
f	11	165	163
f	11	132	137
f	11	164	165
f	11	166	164
f	11	167	166
f	11	137	167
f	167	12	166
f	12	164	166
f	164	12	169
f	171	12	173
f	173	12	167
f	169	12	170
f	170	12	171
f	13	174	179
f	13	175	174
f	13	163	165
f	13	179	163
f	13	177	175
f	13	176	177
f	13	178	176
f	13	165	178
f	165	14	178
f	14	176	178
f	169	14	164
f	164	14	165
f	14	180	176
f	180	14	182
f	14	181	182
f	181	14	169
f	15	183	188
f	15	187	184
f	15	188	187
f	15	185	183
f	15	186	185
f	15	184	186
f	16	190	193
f	16	193	194
f	16	194	191
f	16	191	192
f	190	16	189
f	189	16	192
f	17	198	195
f	196	197	17
f	17	197	198
f	17	195	194
f	17	194	193
f	17	193	196
f	200	18	205
f	18	191	203
f	204	18	203
f	18	204	205
f	18	200	201
f	191	18	202
f	18	201	202
f	19	210	206
f	19	207	210
f	19	206	209
f	19	205	207
f	19	209	205
f	20	216	213
f	20	214	216
f	20	215	214
f	20	211	215
f	20	212	211
f	20	213	212
f	21	217	186
f	218	21	219
f	21	211	219
f	211	21	184
f	21	186	184
f	21	218	217
f	108	22	107
f	22	221	107
f	22	223	221
f	22	220	223
f	22	222	220
f	22	108	222
f	228	23	227
f	23	230	231
f	230	23	226
f	227	23	231
f	225	23	224
f	23	228	224
f	226	23	229
f	229	23	225
f	24	232	238
f	24	236	235
f	24	238	236
f	24	233	232
f	24	179	233
f	24	235	234
f	24	234	179
f	240	25	124
f	124	25	118
f	239	118	25
f	239	25	241
f	25	242	241
f	242	25	240
f	26	246	129
f	26	247	246
f	247	26	245
f	245	26	248
f	248	26	243
f	243	26	244
f	26	129	244
f	243	27	248
f	27	251	248
f	27	254	251
f	27	250	254
f	27	253	250
f	27	249	253
f	249	27	243
f	28	255	253
f	28	259	255
f	28	258	259
f	28	261	258
f	28	260	256
f	28	253	260
f	28	257	261
f	28	256	257
f	29	265	266
f	29	267	264
f	265	29	264
f	263	29	266
f	267	29	262
f	262	29	263
f	30	272	271
f	268	269	30
f	30	269	273
f	30	273	272
f	30	271	270
f	30	270	268
f	274	275	31
f	274	31	277
f	277	31	276
f	275	279	276
f	276	31	275
f	32	285	284
f	32	283	285
f	32	282	283
f	32	280	282
f	32	281	278
f	32	284	281
f	32	274	280
f	32	278	274
f	33	288	289
f	33	289	290
f	33	292	293
f	33	293	288
f	33	290	286
f	33	286	291
f	33	291	287
f	33	287	292
f	34	300	294
f	34	297	298
f	34	298	300
f	34	295	299
f	34	294	295
f	34	296	297
f	34	299	296
f	35	302	231
f	35	295	294
f	35	299	295
f	35	294	302
f	35	230	226
f	35	231	230
f	35	301	299
f	35	226	301
f	36	304	283
f	36	227	303
f	36	303	304
f	36	282	280
f	36	283	282
f	36	228	227
f	36	280	228
f	307	37	306
f	292	37	307
f	287	37	292
f	37	287	199
f	37	199	197
f	37	197	305
f	306	37	305
f	38	290	309
f	38	309	210
f	38	291	286
f	38	286	290
f	38	210	207
f	38	310	291
f	38	207	310
f	39	315	316
f	39	317	314
f	39	314	315
f	39	316	311
f	39	311	312
f	39	312	313
f	39	313	317
f	322	40	319
f	320	40	322
f	156	40	320
f	319	40	321
f	155	40	156
f	40	155	321
f	41	327	330
f	327	41	323
f	329	41	326
f	326	41	330
f	41	328	323
f	324	41	325
f	41	329	325
f	41	324	328
f	42	325	329
f	325	42	324
f	335	42	333
f	333	42	329
f	42	334	324
f	334	42	331
f	331	42	332
f	42	335	332
f	43	338	153
f	43	333	338
f	43	148	149
f	43	153	148
f	43	335	333
f	336	43	149
f	43	336	335
f	341	44	342
f	44	339	342
f	339	44	343
f	343	44	340
f	344	44	341
f	340	44	344
f	345	339	222
f	345	342	339
f	342	345	213
f	213	345	212
f	212	345	346
f	345	222	346
f	45	347	350
f	45	350	349
f	45	349	353
f	45	353	159
f	45	159	348
f	45	348	352
f	45	352	347
f	356	46	357
f	46	359	355
f	46	356	359
f	46	354	358
f	46	358	357
f	46	355	354
f	47	365	363
f	47	363	196
f	47	361	362
f	47	362	365
f	47	196	364
f	47	364	360
f	47	360	361
f	48	371	367
f	48	367	362
f	48	369	370
f	48	370	371
f	48	362	366
f	48	366	368
f	48	368	369
f	49	373	254
f	49	259	372
f	373	49	372
f	49	250	253
f	49	254	250
f	49	255	259
f	49	253	255
f	50	150	377
f	50	149	150
f	50	336	149
f	336	50	375
f	50	376	375
f	50	377	376
f	51	378	383
f	51	383	379
f	51	379	382
f	378	51	380
f	51	382	381
f	51	381	380
f	381	382	52
f	52	387	385
f	52	382	387
f	52	384	386
f	52	386	381
f	385	384	52
f	53	392	388
f	53	388	391
f	390	53	290
f	53	390	392
f	53	391	389
f	53	389	210
f	53	210	309
f	290	53	309
f	368	54	369
f	54	394	397
f	369	54	397
f	393	54	368
f	54	395	396
f	394	54	396
f	395	54	393
f	398	55	400
f	393	55	399
f	400	55	393
f	298	55	398
f	55	401	399
f	55	298	401
f	56	405	404
f	403	56	404
f	403	402	56
f	402	403	406
f	56	402	405
f	408	406	57
f	408	402	406
f	57	412	410
f	408	57	410
f	57	406	412
f	58	410	416
f	58	416	419
f	58	419	415
f	58	415	414
f	58	417	413
f	58	413	410
f	58	414	417
f	59	229	225
f	59	226	229
f	59	97	226
f	59	420	422
f	59	225	420
f	97	59	421
f	59	422	421
f	60	133	134
f	60	137	133
f	60	423	143
f	60	134	423
f	60	167	137
f	60	173	167
f	60	424	173
f	60	143	424
f	143	61	424
f	61	173	424
f	173	61	171
f	61	144	426
f	144	61	143
f	171	61	425
f	61	426	425
f	119	62	428
f	62	246	428
f	62	128	246
f	128	62	427
f	62	239	427
f	119	239	62
f	63	434	433
f	430	434	63
f	434	430	436
f	63	433	429
f	63	431	432
f	63	432	430
f	63	429	431
f	64	436	430
f	64	439	440
f	64	440	436
f	64	430	437
f	64	438	439
f	64	437	438
f	65	441	445
f	65	447	444
f	441	65	444
f	65	445	442
f	65	442	446
f	65	446	443
f	65	443	447
f	66	451	452
f	66	452	453
f	449	66	453
f	445	66	449
f	66	445	441
f	66	441	450
f	66	450	451
f	67	457	453
f	67	453	452
f	67	452	459
f	67	455	456
f	67	456	457
f	67	459	455
f	68	460	447
f	68	391	462
f	68	462	463
f	460	68	463
f	68	447	318
f	68	318	314
f	68	314	461
f	68	461	391
f	69	464	467
f	69	467	466
f	69	466	465
f	272	69	465
f	273	69	272
f	464	69	273
f	70	473	474
f	468	70	474
f	70	472	473
f	469	70	468
f	70	469	470
f	70	471	472
f	70	470	471
f	478	71	316
f	71	478	475
f	71	312	311
f	316	71	311
f	71	475	476
f	71	477	312
f	71	476	477
f	72	477	479
f	72	482	483
f	72	483	477
f	72	479	480
f	72	481	482
f	72	480	481
f	485	486	484
f	73	484	488
f	484	73	485
f	485	73	489
f	73	488	489
f	74	445	454
f	74	454	492
f	74	446	442
f	74	442	445
f	74	492	490
f	74	491	446
f	491	74	490
f	472	496	473
f	494	496	472
f	495	496	494
f	495	497	496
f	496	497	499
f	496	499	473
f	380	75	500
f	386	75	381
f	75	380	381
f	500	75	501
f	502	75	386
f	75	502	501
f	76	505	503
f	500	76	504
f	504	76	503
f	76	506	505
f	76	507	506
f	507	76	500
f	77	511	512
f	77	512	508
f	77	515	510
f	77	510	511
f	77	508	513
f	77	513	514
f	77	514	509
f	77	509	515
f	78	383	517
f	78	517	519
f	78	405	516
f	78	519	405
f	78	382	379
f	78	379	383
f	78	516	382
f	79	521	523
f	520	79	523
f	520	522	79
f	524	79	522
f	79	524	521
f	80	527	409
f	410	80	409
f	413	80	410
f	417	80	413
f	80	528	526
f	80	526	527
f	529	80	417
f	80	529	528
f	414	81	417
f	81	414	532
f	81	532	534
f	417	81	530
f	81	534	531
f	81	531	533
f	530	81	533
f	82	535	536
f	82	536	537
f	378	82	537
f	82	503	535
f	82	504	503
f	82	378	504
f	539	83	459
f	83	539	404
f	459	83	538
f	83	404	519
f	538	83	519
f	84	236	541
f	84	542	540
f	84	541	542
f	84	235	236
f	84	540	136
f	84	136	235
f	548	85	545
f	85	548	547
f	85	546	544
f	545	85	544
f	543	85	547
f	546	85	543
f	86	547	456
f	86	456	455
f	86	455	550
f	547	86	549
f	86	550	536
f	549	86	536
f	87	551	555
f	87	554	356
f	87	555	554
f	551	87	552
f	357	87	356
f	552	87	357
f	88	556	560
f	358	88	560
f	88	354	559
f	88	358	354
f	88	557	556
f	88	559	558
f	88	558	557
f	313	89	317
f	89	313	312
f	89	209	208
f	317	89	208
f	89	312	483
f	89	561	209
f	89	483	561
f	90	271	567
f	90	567	564
f	90	564	563
f	90	563	562
f	90	565	271
f	90	562	565
f	543	91	433
f	91	543	549
f	535	91	549
f	91	569	433
f	91	535	568
f	91	568	569
f	92	545	544
f	92	544	570
f	92	574	573
f	92	573	545
f	92	570	440
f	92	440	571
f	92	571	572
f	92	572	574
f	93	574	572
f	93	572	571
f	93	578	575
f	93	575	574
f	93	571	576
f	93	577	578
f	93	576	577
f	579	581	582
f	579	574	94
f	581	580	492
f	581	94	580
f	581	579	94
f	94	574	580
f	95	583	587
f	95	586	583
f	95	585	586
f	95	588	585
f	95	587	223
f	95	584	588
f	584	95	223
f	590	589	300
f	589	189	302
f	294	589	302
f	589	294	300
f	96	414	418
f	96	418	523
f	96	523	521
f	96	534	532
f	96	532	414
f	591	96	521
f	96	591	534
f	97	301	226
f	97	98	301
f	97	421	99
f	98	104	301
f	102	99	421
f	100	103	101
f	100	106	103
f	106	100	592
f	102	592	100
f	101	593	104
f	101	105	593
f	102	595	592
f	102	421	594
f	102	594	595
f	104	299	301
f	104	296	299
f	593	296	104
f	593	105	110
f	106	218	109
f	218	106	592
f	107	221	596
f	110	107	596
f	222	108	346
f	108	109	346
f	109	219	346
f	109	218	219
f	110	598	593
f	110	597	598
f	110	596	597
f	125	111	438
f	438	111	117
f	112	114	113
f	112	121	114
f	115	113	599
f	113	120	599
f	117	116	576
f	115	600	601
f	115	601	116
f	115	599	600
f	116	601	577
f	116	577	576
f	117	439	438
f	117	576	439
f	118	121	124
f	118	239	119
f	119	602	122
f	119	428	602
f	599	120	122
f	599	122	603
f	603	122	602
f	240	123	605
f	605	123	606
f	606	123	125
f	124	123	240
f	125	437	606
f	125	438	437
f	128	427	127
f	129	246	128
f	130	126	607
f	126	131	607
f	127	610	609
f	127	608	610
f	127	427	608
f	127	609	131
f	244	129	130
f	611	244	130
f	611	130	612
f	612	130	607
f	614	131	609
f	607	131	613
f	613	131	614
f	132	237	136
f	132	234	237
f	132	168	234
f	134	135	616
f	134	615	139
f	134	616	615
f	134	139	423
f	616	138	617
f	616	135	138
f	136	540	138
f	136	237	235
f	237	234	235
f	617	138	540
f	139	615	618
f	139	618	142
f	423	139	143
f	619	140	145
f	143	140	144
f	140	426	144
f	426	140	619
f	620	145	141
f	145	620	621
f	619	145	621
f	141	142	622
f	620	141	623
f	623	141	622
f	624	142	618
f	622	142	624
f	146	148	153
f	148	146	149
f	150	151	625
f	151	147	626
f	147	152	628
f	147	628	627
f	147	627	626
f	152	154	628
f	150	629	377
f	150	625	629
f	151	626	630
f	625	630	629
f	625	151	630
f	153	631	155
f	153	338	631
f	633	154	156
f	154	633	632
f	154	632	628
f	321	155	631
f	633	156	160
f	632	633	160
f	156	320	160
f	157	635	352
f	348	157	352
f	157	348	159
f	320	157	160
f	157	320	635
f	162	636	161
f	161	637	632
f	161	636	637
f	160	161	632
f	640	158	353
f	158	640	639
f	158	639	638
f	353	158	159
f	162	158	638
f	162	638	464
f	162	464	636
f	168	163	234
f	163	179	234
f	169	641	181
f	169	172	641
f	169	170	172
f	170	642	172
f	170	643	642
f	170	171	643
f	171	644	643
f	171	425	644
f	172	642	641
f	174	175	645
f	179	174	645
f	175	646	645
f	646	175	607
f	607	175	177
f	177	176	611
f	611	176	180
f	177	612	607
f	177	611	612
f	179	645	233
f	180	648	611
f	180	647	648
f	180	182	647
f	181	641	182
f	641	649	182
f	182	649	647
f	183	650	331
f	183	331	188
f	650	183	185
f	185	652	651
f	185	186	652
f	186	217	652
f	211	184	215
f	215	184	187
f	187	375	376
f	215	187	376
f	187	188	375
f	185	651	650
f	188	332	335
f	188	331	332
f	188	337	375
f	188	335	337
f	192	191	202
f	192	202	303
f	192	303	653
f	192	653	189
f	189	589	190
f	189	653	302
f	190	590	364
f	190	364	193
f	190	589	590
f	203	191	654
f	191	194	654
f	193	364	196
f	654	194	195
f	291	195	198
f	310	195	291
f	195	310	654
f	196	363	197
f	197	199	198
f	305	197	365
f	365	197	363
f	198	199	287
f	291	198	287
f	200	209	561
f	200	205	209
f	200	561	655
