vf	x	y	z
v	-1.22E+01	4.90E-01	-4.22E+00
v	-1.07E+01	7.22E-01	-4.53E+00
v	-1.01E+01	1.73E+00	-4.36E+00
v	-1.16E+01	2.75E+00	-3.36E+00
v	-5.43E+00	6.40E+00	-2.78E+00
v	-3.95E+00	6.69E+00	-3.06E+00
v	-3.26E+00	7.38E+00	-2.69E+00
v	-3.95E+00	7.72E+00	-1.98E+00
v	-5.51E+00	7.39E+00	-1.61E+00
v	-4.51E+00	5.92E+00	-3.40E+00
v	-4.53E+00	7.88E+00	-1.35E+00
v	-1.68E+00	7.21E+00	-2.61E+00
v	-2.94E-01	5.69E+00	-3.38E+00
v	-1.67E-01	6.08E+00	-1.59E+00
v	-1.06E+00	7.05E+00	-1.52E+00
v	-1.62E+00	6.18E+00	-3.69E+00
v	-8.82E-01	5.55E+00	-4.03E+00
v	2.65E-01	5.63E+00	-2.58E+00
v	1.12E+01	3.46E+00	-3.03E-01
v	1.27E+01	2.75E+00	2.55E-01
v	1.06E+01	3.38E+00	-9.93E-01
v	1.14E+01	3.00E+00	-1.65E+00
v	1.24E+01	2.13E+00	-1.85E+00
v	1.32E+01	2.14E+00	-7.16E-01
v	1.17E+01	3.42E+00	4.66E-01
v	9.78E+00	3.77E+00	-3.99E-01
v	1.10E+01	3.71E+00	1.34E+00
v	9.26E+00	4.43E+00	2.97E-01
v	1.00E+01	4.32E+00	1.57E+00
v	9.06E+00	2.92E+00	3.46E+00
v	9.62E+00	5.98E-01	4.43E+00
v	8.93E+00	1.62E+00	4.16E+00
v	1.02E+01	3.12E+00	2.68E+00
v	1.08E+01	2.04E+00	2.93E+00
v	1.07E+01	7.80E-01	3.64E+00
v	-6.86E+00	4.92E+00	-3.24E+00
v	-5.31E+00	3.80E+00	-4.20E+00
v	-6.29E+00	4.13E+00	-3.76E+00
v	-4.71E+00	4.52E+00	-4.08E+00
v	-3.92E+00	5.20E+00	-3.98E+00
v	-6.25E+00	5.62E+00	-3.07E+00
v	-4.75E+00	2.91E+00	-4.81E+00
v	-3.16E+00	3.02E+00	-5.01E+00
v	-2.49E+00	4.08E+00	-4.70E+00
v	-3.95E+00	2.39E+00	-5.16E+00
v	-3.03E+00	4.92E+00	-4.25E+00
v	-8.55E+00	4.57E+00	-3.12E+00
v	-9.27E+00	3.85E+00	-3.39E+00
v	-7.70E+00	2.71E+00	-4.39E+00
v	-8.73E+00	3.10E+00	-4.03E+00
v	-7.01E+00	3.41E+00	-4.07E+00
v	-7.82E+00	5.24E+00	-2.82E+00
v	-7.00E+00	1.74E+00	-4.98E+00
v	-5.48E+00	2.25E+00	-5.02E+00
v	-6.06E+00	1.58E+00	-5.17E+00
v	8.17E+00	1.46E+00	-4.48E+00
v	9.73E+00	-4.29E-01	-4.42E+00
v	7.72E+00	9.47E-01	-5.06E+00
v	8.44E+00	-1.65E-01	-4.98E+00
v	1.00E+01	9.62E-01	-4.05E+00
v	9.07E+00	1.94E+00	-3.65E+00
v	2.06E+00	-4.93E+00	-4.69E-01
v	2.78E+00	-5.23E+00	6.89E-01
v	7.08E-01	-3.52E+00	4.58E-01
v	9.49E-01	-4.32E+00	-5.51E-01
v	2.32E+00	-4.61E+00	1.47E+00
v	1.42E+00	-3.65E+00	1.48E+00
v	1.01E+00	-3.15E+00	2.50E+00
v	2.98E+00	-4.52E+00	2.36E+00
v	3.01E+00	-3.56E+00	3.42E+00
v	1.60E+00	-3.18E+00	3.31E+00
